,NSRDB loc,OID_,case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
2102,,2102,400582,single,58521,NM,Valencia,34.74649811,-106.6539993,151657,20220308,4,Manzano Solar,2013,PNM,PV,thin-film,fixed-tilt,180,0,,8,10.1,greenfield,non-agrivoltaic,-0.0663591
2138,,2138,402876,single,62191,NM,Torrance,34.78089905,-106.0559998,49469,20191007,4,CNMEC Solar Energy Center,2018,PNM,PV,c-si,single-axis,180,0,,2,2.6,greenfield,non-agrivoltaic,-0.392058
2095,447439,2095,401201,single,59618,NM,Valencia,34.80970001,-106.5169983,304913,20220216,4,Meadow Lake Solar Energy Center,2015,PNM,PV,thin-film,single-axis,180,0,,9.12,11.4,greenfield,non-agrivoltaic,-0.743994
2090,,2090,400207,single,57571,NM,Valencia,34.83280182,-106.7720032,154117,20220308,4,Los Lunas Solar Energy Center,2013,PNM,PV,thin-film,fixed-tilt,180,0,,7,8.9,greenfield,non-agrivoltaic,-0.271652
2111,440846,2111,402441,single,61556,NM,Valencia,34.83359909,-106.7809982,234111,20220308,4,Facebook 1 Solar Energy Center,2017,PNM,PV,c-si,single-axis,180,0,,10,12.5,greenfield,non-agrivoltaic,-0.37268
2103,,2103,401563,multi,60195,NM,Bernalillo,34.98550034,-106.7310028,257335,20220907,4,South Valley Solar Energy Center,2015,PNM,PV,c-si,single-axis,180,20,,10,12.4,greenfield,non-agrivoltaic,-0.493482
2109,519836,2109,400979,single,59251,NM,Quay,34.98680115,-103.6279984,799694,20190202,4,"Caprock Solar 1, LLC",2016,SWPP,PV,c-si,single-axis,180,22,,25,32,greenfield,non-agrivoltaic,-0.683037
2105,,2105,401565,multi,60197,NM,Bernalillo,35.01269913,-106.8610001,276627,20220115,4,Santolina Solar Energy Center,2015,PNM,PV,c-si,single-axis,180,25,,10.5,12.4,greenfield,non-agrivoltaic,-0.571442
2089,456938,2089,403736,multi,63579,NM,Torrance,35.01649857,-106.0970001,1203702,20200430,4,Britton Solar Energy Center,2019,PNM,PV,c-si,single-axis,180,30,,50,67.7,greenfield,non-agrivoltaic,-0.306571
2131,,2131,401038,single,59393,NM,Bernalillo,35.04840088,-106.5289993,39930,20220630,4,Eubank Landfill Solar Array,2013,PNM,PV,c-si,single-axis,180,25,,2,2.5,landfill named,non-agrivoltaic,-0.158878
2113,,2113,402443,single,61558,NM,Bernalillo,35.07540131,-106.8649979,238596,20220707,4,Facebook 3 Solar Energy Center,2018,PNM,PV,c-si,single-axis,180,25,,10,12.5,greenfield,non-agrivoltaic,-0.395964
2112,,2112,402442,single,61557,NM,Bernalillo,35.07920074,-106.8649979,238517,20220707,4,Facebook 2 Solar Energy Center,2018,PNM,PV,c-si,single-axis,180,0,,10,12.5,greenfield,non-agrivoltaic,-0.395561
2141,,2141,403322,single,62995,NM,Cibola,35.14189911,-107.8199997,107252,20210618,4,Grants CDEC 2,2019,PNM,PV,c-si,single-axis,180,25,,4.5,5.8,greenfield,non-agrivoltaic,-0.356794
2139,,2139,403178,single,62756,NM,Bernalillo,35.15259933,-106.5469971,23356,20220630,4,"RC Energy AA, LLC Solar Facility",2011,PNM,PV,c-si,fixed-tilt,180,0,,1,1.1,greenfield,non-agrivoltaic,-0.518748
2149,,2149,400206,single,57567,NM,Bernalillo,35.16889954,-106.5999985,45526,20221025,4,Albuquerque Solar Energy Center,2011,PNM,PV,thin-film,fixed-tilt,180,,,2,2.4,greenfield,non-agrivoltaic,-0.38837
2145,,2145,403604,single,63391,NM,Bernalillo,35.18159866,-106.810997,245942,20220807,4,City of Rio Rancho WWTP,2019,PNM,PV,c-si,fixed-tilt,180,,,1.2,1.3,greenfield,non-agrivoltaic,-1.4887201
2140,,2140,403321,single,62994,NM,Cibola,35.2419014,-107.9520035,62932,20220106,4,Bluewater CDEC 1,2019,PNM,PV,c-si,single-axis,180,0,,2.4,3.1,greenfield,non-agrivoltaic,-0.468583
2097,429870,2097,401202,single,59619,NM,Cibola,35.25579834,-107.2490005,223799,20210406,4,Cibola,2015,PNM,PV,thin-film,single-axis,180,20,,7.6,9.4,greenfield,non-agrivoltaic,-0.636949
2130,,2130,400624,multi,58589,NM,Sandoval,35.26639938,-106.6660004,23084,20220726,4,Rio Rancho High School,2013,PNM,PV,c-si,fixed-tilt,180,0,,1,1.2,greenfield,non-agrivoltaic,-0.405377
2096,,2096,401161,single,59558,NM,Sandoval,35.28290176,-106.810997,160031,20220303,4,Sandoval Solar Energy Center,2014,PNM,PV,thin-film,single-axis,180,0,,6.08,7.4,greenfield,non-agrivoltaic,-0.538608
2129,439901,2129,400623,multi,58588,NM,Sandoval,35.31219864,-106.6380005,21876,20220726,4,Sue Cleveland High School,2013,PNM,PV,c-si,fixed-tilt,180,20,,1,1.2,greenfield,non-agrivoltaic,-0.338783
2147,,2147,403868,multi,63860,NM,Sandoval,35.3512001,-106.8600006,1097160,20220115,4,Encino Solar Energy Center,2020,PNM,PV,c-si,single-axis,180,0,,55,66.7,greenfield,non-agrivoltaic,-0.201012
2088,396067,2088,402988,single,62406,NM,McKinley,35.5237999,-108.7730026,130601,20200816,4,City of Gallup Solar,2018,PNM,PV,c-si,single-axis,180,30,,8,9.8,greenfield,non-agrivoltaic,0.12944
2106,,2106,401564,single,60196,NM,Santa Fe,35.5617981,-106.0849991,227729,20220614,4,Santa Fe Solar Energy Center,2015,PNM,PV,c-si,single-axis,180,25,,9.5,11.6,greenfield,non-agrivoltaic,-0.42965
2120,465549,2120,403387,single,63081,NM,San Miguel,35.63430023,-105.1760025,440171,20220517,1,San Miguel I Solar Energy Center,2019,PNM,PV,c-si,single-axis,180,0,,10,12.8,greenfield,non-agrivoltaic,-0.936732
2125,,2125,400210,single,57576,NM,San Miguel,35.6446991,-105.2070007,111244,20220511,4,Las Vegas Solar Energy Center,2011,PNM,PV,thin-film,fixed-tilt,180,25,,5,6.4,greenfield,non-agrivoltaic,-0.27669
2121,,2121,400735,single,58794,NM,San Miguel,35.65840149,-105.1839981,29203,20220511,4,Storrie Lake Solar Project,2014,PNM,PV,c-si,fixed-tilt,180,26,,1.5,1.9,greenfield,non-agrivoltaic,-0.101989
2124,452164,2124,400434,multi,58256,NM,Los Alamos,35.87609863,-106.310997,22346,20210808,4,Los Alamos PV Site,2012,PNM,PV,c-si,fixed-tilt,180,,,1,1.1,landfill,non-agrivoltaic,-0.469365
2146,,2146,403675,single,63477,NM,Rio Arriba,36.09140015,-106.0410004,47167,20210711,4,Alcalde Solar Array,2020,PNM,PV,c-si,single-axis,180,0,,2.4,3.1,greenfield,non-agrivoltaic,-0.0866286
2143,455003,2143,403412,single,63124,NM,Rio Arriba,36.33119965,-106.1900024,29639,20220908,4,Syncarpha El Rito,2019,PNM,PV,c-si,single-axis,180,25,,1.6,2,greenfield,non-agrivoltaic,-0.0459207
2142,,2142,403411,multi,63123,NM,Taos,36.37070084,-105.6600037,110612,20220205,4,Syncarpha Taos,2020,PNM,PV,c-si,single-axis,180,20,batteries,3.1,4.2,greenfield,non-agrivoltaic,-0.730473
2132,,2132,401162,single,59560,NM,Colfax,36.39870071,-104.5940018,21919,20210704,4,Springer Solar 1,2015,PNM,PV,c-si,single-axis,91,20,,0.9,1.2,greenfield,non-agrivoltaic,-0.341279
2093,493920,2093,400104,single,57243,NM,Colfax,36.46849823,-104.6350021,912545,20210704,4,Cimarron Solar Facility,2010,WACM,PV,thin-film,fixed-tilt,180,25,,30.64,37.4,greenfield,non-agrivoltaic,-0.660558
2137,,2137,402854,single,62149,NM,Colfax,36.54449844,-105.2770004,26976,20191207,4,Syncarpha Eagle Nest,2018,PNM,PV,c-si,single-axis,180,0,,1,1.3,greenfield,non-agrivoltaic,-0.493371
2150,,2150,400146,single,57369,NM,Taos,36.71670151,-105.6070023,52530,20211105,4,Questa Solar Facility,2011,PNM,PV,c-si,dual-axis,180,20,,1,1,greenfield,non-agrivoltaic,-1.16971
2144,,2144,403413,single,63125,NM,Taos,36.8103981,-105.5899963,42775,20211202,4,Syncarpha Questa,2020,PNM,PV,c-si,single-axis,180,18,,1.6,2.1,greenfield,non-agrivoltaic,-0.47242
2122,460677,2122,400427,single,58240,NM,Taos,36.96630096,-105.4369965,37409,20211121,4,Kit Carson,2012,PNM,PV,c-si,single-axis,180,25,,1.3,1.3,greenfield,non-agrivoltaic,-0.805163
